@relation day-of-week-./data/bris.dev

@attribute F0 {Brisbane}
@attribute F1 numeric
@attribute F2 numeric
@attribute F3 numeric
@attribute F4 numeric
@attribute F5 numeric
@attribute F6 numeric
@attribute F7 numeric
@attribute F8 numeric
@attribute F9 numeric
@attribute F10 numeric
@attribute F11 numeric
@attribute F12 numeric
@attribute F13 numeric
@attribute F14 numeric
@attribute F15 numeric
@attribute F16 numeric
@attribute F17 numeric
@attribute F18 numeric
@attribute F19 numeric
@attribute F20 numeric
@attribute F21 {Sat,Fri,Sun,Thu,Wed,Tue,Mon}

@data
Brisbane,1980,6,30,0,6,20,13.8,9.2,22000,22000,22000,9900,40000,16425,1,7,2.6,1010.7,1014.5,1013,Sat
Brisbane,1980,9,22,0,14,27,19.4,7.2,22000,22000,22000,3000,15000,8348,0,14,9.9,1016.5,1022.9,1020,Fri
Brisbane,1981,1,19,0,23,30,26,5.6,240,22000,13287.9,9900,30000,12500,19,23,21.7,1009.6,1015.6,1012.3,Sat
Brisbane,1981,8,17,0,12,26,18.6,5.6,22000,22000,22000,9900,25000,11326.1,0,15,9.4,1008.9,1012.4,1010.3,Fri
Brisbane,1981,11,16,2,19,24,21.2,2.5,600,22000,9723.5,9900,30000,15221.1,15,20,17.6,1006.4,1014.1,1010,Sat
Brisbane,1981,12,28,0,25,31,27.3,5.1,300,22000,12897.4,11200,30000,14081.5,22,24,23,1004.8,1010.2,1007.7,Sat
Brisbane,1982,3,29,0,20,29,24.8,3,750,22000,18753.8,9900,35000,12310,19,21,19.9,1012.1,1016.1,1013.9,Sat
Brisbane,1982,5,10,0,9,25,16.9,4.1,22000,22000,22000,9900,30000,14131.8,3.8,13,7.4,1014.9,1018.1,1016.8,Fri
Brisbane,1982,6,7,0,11.1,21,15.5,5.6,22000,22000,22000,9900,40000,16388,8.8,11.1,9.7,1021.7,1024.2,1023.2,Thu
Brisbane,1982,11,1,1,13,25,16.9,5.1,750,22000,12903.3,9900,40000,14828.6,9,18,11.3,1015,1024.6,1020.8,Thu
Brisbane,1982,11,8,0,20,28,23.2,2.1,510,22000,16950.6,9900,30000,14100,16.5,20,18.2,1013.5,1017.2,1015.6,Sat
Brisbane,1983,7,25,0,12,20,15.1,8.2,900,22000,13047.8,9900,30000,13358.8,4,8,6.7,1025.7,1027.9,1027,Tue
Brisbane,1983,8,22,0,11,24,15.1,5.1,1500,22000,18382.4,9900,30000,12612.5,2,19,9.3,1019.9,1022.7,1021.7,Tue
Brisbane,1983,10,10,26.3,18,21,19.1,6.1,270,22000,2875.5,500,30000,9486.7,15,18,16.8,1014,1018.6,1015.7,Thu
Brisbane,1983,11,14,0,19,28,23.7,5.1,900,22000,20334.5,9900,40000,14875.8,13.6,18,16,1016,1020.9,1017.8,Sat
Brisbane,1984,3,26,0,21,30,24.2,3.6,3000,22000,11160,9900,40000,14651.6,16.9,22,19.9,1009.4,1012.3,1011.1,Sat
Brisbane,1984,4,2,0,16.5,26.4,21.8,7.2,22000,22000,22000,9900,30000,12894.9,11,15,13.6,1021.9,1024.2,1022.7,Fri
Brisbane,1984,4,30,0.5,17,24,20.4,7.2,900,22000,7903.3,11200,25000,12960,10,14.5,12.7,1023.3,1025.6,1024.2,Tue
Brisbane,1984,5,21,?,14.3,23,18.9,9.3,900,22000,14370,11200,25000,13626.7,10.6,15,12.3,1022.7,1026.3,1024.7,Tue
Brisbane,1984,10,1,0,11.8,20.1,15.9,1.5,900,22000,11150,9900,20000,12333.3,8,11.1,9.6,1021,1024,1022.6,Tue
Brisbane,1985,3,4,0,22,28.5,25.1,4.1,750,22000,15221.9,9900,20000,12708.3,18,21.6,19.6,1005.3,1008.6,1006.5,Sat
Brisbane,1985,5,13,6.6,14,23,17.5,7.2,390,22000,10984.3,3000,30000,14060.9,10,17,13.5,1022.4,1024.3,1023.2,Tue
Brisbane,1985,9,2,0,9.8,16,12.7,12.9,22000,22000,22000,9900,40000,18075,0,3.7,1.8,1009,1018.6,1014,Sat
Brisbane,1985,9,16,0,12,27.7,18.9,5.1,22000,22000,22000,8000,30000,15076.2,0.6,11,7.7,1009.8,1013.9,1012.4,Fri
Brisbane,1985,10,21,0,12,26.8,19.1,4.6,22000,22000,22000,9900,40000,17153.8,1.1,10.6,7.1,1010.8,1015.2,1012.3,Fri
Brisbane,1986,1,20,0,21,31.4,26,10.3,22000,22000,22000,9900,40000,17892,13,18,15.6,1010.4,1012.8,1011.6,Sat
